date,DMSO,time_of_day_hr,cell_line,count_E6/ml,weight_g,weight_g_minusFlask,total_count_E6,dilution_factor,effective_count_E6,effective_density_1E6_ml
20111116,FALSE,13,sgCtrl1,0.18,84.9,24.3,4.374,1,4.374,0.18
20111116,FALSE,13,sgCtrl1,0.21,84.9,24.3,5.103,1,5.103,0.21
20111116,FALSE,13,sgCtrl1,0.15,84.9,24.3,3.645,1,3.645,0.15
20111116,FALSE,13,sgCEBPE,0.21,84.8,24.2,5.082,1,5.082,0.21
20111116,FALSE,13,sgCEBPE,0.2,84.8,24.2,4.84,1,4.84,0.2
20111116,FALSE,13,sgCEBPE,0.25,84.8,24.2,6.05,1,6.05,0.25
20111116,FALSE,13,sgSPI1,0.23,85,24.4,5.612,1,5.612,0.23
20111116,FALSE,13,sgSPI1,0.19,85,24.4,4.636,1,4.636,0.19
20111116,FALSE,13,sgSPI1,0.22,85,24.4,5.368,1,5.368,0.22
20111116,FALSE,13,sgFLCN,0.2,84.8,24.2,4.84,1,4.84,0.2
20111116,FALSE,13,sgFLCN,0.22,84.8,24.2,5.324,1,5.324,0.22
20111116,FALSE,13,sgFLCN,0.16,84.8,24.2,3.872,1,3.872,0.16
20111116,FALSE,13,sgTSC1,0.18,84.7,24.1,4.338,1,4.338,0.18
20111116,FALSE,13,sgTSC1,0.2,84.7,24.1,4.82,1,4.82,0.2
20111116,FALSE,13,sgTSC1,0.17,84.7,24.1,4.097,1,4.097,0.17
20111116,FALSE,13,sgLAMTOR1,0.18,84.7,24.1,4.338,1,4.338,0.18
20111116,FALSE,13,sgLAMTOR1,0.18,84.7,24.1,4.338,1,4.338,0.18
20111116,FALSE,13,sgLAMTOR1,0.16,84.7,24.1,3.856,1,3.856,0.16
20111116,FALSE,13,sgRICTOR,0.22,85.5,24.9,5.478,1,5.478,0.22
20111116,FALSE,13,sgRICTOR,0.26,85.5,24.9,6.474,1,6.474,0.26
20111116,FALSE,13,sgRICTOR,0.18,85.5,24.9,4.482,1,4.482,0.18
20111116,TRUE,13,sgCtrl1,0.24,90.7,30.1,7.224,1,7.224,0.24
20111116,TRUE,13,sgCtrl1,0.3,90.7,30.1,9.03,1,9.03,0.3
20111116,TRUE,13,sgCtrl1,0.19,90.7,30.1,5.719,1,5.719,0.19
20111116,TRUE,13,sgCEBPE,0.3,90.5,29.9,8.97,1,8.97,0.3
20111116,TRUE,13,sgCEBPE,0.25,90.5,29.9,7.475,1,7.475,0.25
20111116,TRUE,13,sgCEBPE,0.3,90.5,29.9,8.97,1,8.97,0.3
20111116,TRUE,13,sgSPI1,0.3,90.5,29.9,8.97,1,8.97,0.3
20111116,TRUE,13,sgSPI1,0.29,90.5,29.9,8.671,1,8.671,0.29
20111116,TRUE,13,sgSPI1,0.28,90.5,29.9,8.372,1,8.372,0.28
20111116,TRUE,13,sgFLCN,0.3,90.6,30,9,1,9,0.3
20111116,TRUE,13,sgFLCN,0.28,90.6,30,8.4,1,8.4,0.28
